epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.5441,0.757,4.13656,0.00667,0.0098,0.95861,0.30041,0.22348,0.49998,5.54521,0.00615,0.00045728,0.00045728,0.00045728
2,137.562,0.80297,3.34623,0.00739,0.56213,0.28209,0.42303,0.3327,0.69509,4.93083,0.00918,0.000919654,0.000919654,0.000919654
3,206.257,0.86565,2.79938,0.00798,0.6344,0.39906,0.56295,0.45397,0.73343,4.00633,0.00881,0.00137269,0.00137269,0.00137269
4,274.491,0.9067,2.39519,0.00877,0.70599,0.566,0.68744,0.55216,0.77081,3.15692,0.00971,0.00138656,0.00138656,0.00138656
5,342.664,0.8929,2.127,0.00825,0.62844,0.70598,0.72317,0.57235,0.77866,2.70737,0.00985,0.00137241,0.00137241,0.00137241
6,409.807,0.87091,1.83106,0.008,0.71877,0.70958,0.76598,0.6377,0.69777,2.29825,0.00905,0.00135826,0.00135826,0.00135826
7,477.826,0.84493,1.71678,0.00813,0.75674,0.78704,0.8266,0.66444,0.68387,2.14624,0.00905,0.00134412,0.00134412,0.00134412
8,547.831,0.82738,1.48374,0.00798,0.75287,0.75263,0.82451,0.67145,0.71172,1.84953,0.00968,0.00132997,0.00132997,0.00132997
9,617.075,0.82267,1.39175,0.00797,0.85184,0.71851,0.84699,0.67135,0.69423,1.66148,0.00908,0.00131582,0.00131582,0.00131582
10,687.356,0.81966,1.28098,0.00794,0.79193,0.82961,0.85739,0.6986,0.69018,1.35201,0.00964,0.00130168,0.00130168,0.00130168
11,757.647,0.78833,1.11211,0.00762,0.81677,0.8127,0.87026,0.72573,0.60383,1.34627,0.00802,0.00128753,0.00128753,0.00128753
12,828.816,0.80745,1.08984,0.00737,0.84111,0.808,0.88049,0.71461,0.66169,1.11745,0.00836,0.00127338,0.00127338,0.00127338
13,900.91,0.79072,1.06354,0.00729,0.84002,0.81242,0.89939,0.732,0.70085,1.0157,0.01024,0.00125923,0.00125923,0.00125923
14,974.129,0.75246,0.93016,0.00687,0.86784,0.78897,0.89505,0.73441,0.64354,1.07859,0.00905,0.00124509,0.00124509,0.00124509
15,1048.93,0.78497,0.87697,0.00726,0.89311,0.83165,0.9191,0.74886,0.6929,0.76515,0.00976,0.00123094,0.00123094,0.00123094
16,1128.34,0.74403,0.83294,0.00681,0.8172,0.83756,0.89858,0.73241,0.66861,0.77113,0.0092,0.00121679,0.00121679,0.00121679
17,1206.54,0.73325,0.7666,0.00649,0.84326,0.82042,0.87612,0.7071,0.70555,0.81909,0.01057,0.00120265,0.00120265,0.00120265
18,1286.56,0.72333,0.75753,0.00659,0.82462,0.84129,0.87008,0.72606,0.53829,0.69235,0.00651,0.0011885,0.0011885,0.0011885
19,1367.36,0.72199,0.72668,0.00657,0.86874,0.85165,0.91068,0.75421,0.56389,0.61285,0.00682,0.00117435,0.00117435,0.00117435
20,1446.95,0.729,0.71875,0.00685,0.84847,0.82684,0.90709,0.7282,0.68583,0.65301,0.00938,0.00116021,0.00116021,0.00116021
21,1524.9,0.73042,0.71167,0.0069,0.82061,0.86651,0.9121,0.74692,0.7229,0.62444,0.0105,0.00114606,0.00114606,0.00114606
22,1604.32,0.73339,0.66638,0.00683,0.8538,0.8696,0.92406,0.7773,0.49942,0.57312,0.00636,0.00113191,0.00113191,0.00113191
23,1683.36,0.72631,0.63148,0.00639,0.87389,0.84932,0.91598,0.76392,0.55577,0.53677,0.00699,0.00111776,0.00111776,0.00111776
24,1761.07,0.73169,0.64982,0.0068,0.90291,0.84416,0.92223,0.73098,0.73425,0.57726,0.0104,0.00110362,0.00110362,0.00110362
25,1837.41,0.71875,0.60179,0.00663,0.87776,0.81961,0.9035,0.73806,0.68721,0.57785,0.00998,0.00108947,0.00108947,0.00108947
26,1916.34,0.71066,0.61147,0.00636,0.8775,0.85535,0.91071,0.73941,0.66404,0.56543,0.00936,0.00107532,0.00107532,0.00107532
27,1994.24,0.71874,0.58223,0.00661,0.89641,0.87165,0.90871,0.78039,0.58462,0.69752,0.00727,0.00106118,0.00106118,0.00106118
28,2065.7,0.6669,0.55539,0.00622,0.87398,0.91237,0.92604,0.77772,0.6039,0.47338,0.00831,0.00104703,0.00104703,0.00104703
29,2139.52,0.70051,0.54096,0.00631,0.88066,0.88964,0.91783,0.78661,0.57306,0.51965,0.00748,0.00103288,0.00103288,0.00103288
30,2211.16,0.68578,0.53553,0.00649,0.93434,0.86735,0.93561,0.79445,0.61505,0.43897,0.00856,0.00101873,0.00101873,0.00101873
31,2281.62,0.66991,0.52471,0.00631,0.8513,0.89001,0.91193,0.72096,0.89477,0.74661,0.01386,0.00100459,0.00100459,0.00100459
32,2354.98,0.68579,0.52333,0.00603,0.89938,0.88305,0.9256,0.76814,0.59281,0.42874,0.00814,0.00099044,0.00099044,0.00099044
33,2426.74,0.64966,0.48287,0.00606,0.89731,0.90747,0.94387,0.79515,0.60993,0.46746,0.00861,0.000976293,0.000976293,0.000976293
34,2501.33,0.67752,0.51295,0.00602,0.91613,0.94088,0.95925,0.81352,0.63743,0.39203,0.00896,0.000962146,0.000962146,0.000962146
35,2570.95,0.65881,0.48359,0.00603,0.87102,0.90094,0.931,0.79343,0.52985,0.50378,0.00626,0.000947999,0.000947999,0.000947999
36,2640.62,0.66528,0.49728,0.00624,0.94088,0.84174,0.95086,0.81251,0.53274,0.36518,0.00659,0.000933851,0.000933851,0.000933851
37,2712.93,0.65887,0.46106,0.00587,0.91227,0.90285,0.95004,0.82968,0.49428,0.36434,0.00657,0.000919704,0.000919704,0.000919704
38,2784.45,0.64673,0.44489,0.00621,0.93,0.89134,0.95356,0.82328,0.54034,0.34292,0.00709,0.000905557,0.000905557,0.000905557
39,2858.52,0.65545,0.46403,0.00593,0.95802,0.8998,0.93763,0.79837,0.59279,0.43807,0.00793,0.00089141,0.00089141,0.00089141
40,2933.71,0.66626,0.46459,0.00621,0.93188,0.87057,0.94332,0.8029,0.51245,0.37126,0.00655,0.000877263,0.000877263,0.000877263
41,3013.92,0.63839,0.44164,0.00578,0.9236,0.89046,0.94064,0.81434,0.54979,0.47882,0.00747,0.000863116,0.000863116,0.000863116
42,3089.99,0.64943,0.44888,0.00588,0.94777,0.88751,0.9509,0.82338,0.55591,0.3676,0.00771,0.000848969,0.000848969,0.000848969
43,3164.85,0.61672,0.41528,0.00537,0.9035,0.89261,0.9275,0.7923,0.63205,0.52635,0.00918,0.000834822,0.000834822,0.000834822
44,3238.44,0.61419,0.40422,0.00563,0.91081,0.8906,0.93246,0.79912,0.57237,0.49375,0.00776,0.000820675,0.000820675,0.000820675
45,3313.74,0.62022,0.40945,0.00565,0.95016,0.86514,0.94821,0.81527,0.52563,0.34667,0.00684,0.000806528,0.000806528,0.000806528
46,3387.05,0.61966,0.41334,0.00574,0.88344,0.92714,0.94728,0.82542,0.48355,0.34154,0.0062,0.00079238,0.00079238,0.00079238
